Company,Position,Connected On
Proofpoint,"Manager, Data Science",18 Dec 2019
Educational Alliance,Lead Teacher,18 Dec 2019
Episode Six,Business Associate,16 Dec 2019
Accenture,Employee Relations Associate Manager,12 Dec 2019
Capital Group,Senior Associate,10 Dec 2019
Sheffield Haworth,"Director, Executive Search - Global Banking & Private Equity/Venture Capital; US Lead for Diversity",07 Dec 2019
Guidepoint,Associate,07 Dec 2019
Planisware,Associate Technical Consultant,05 Dec 2019
Goldman Sachs,Associate,30 Nov 2019
Goldman Sachs,Associate,26 Nov 2019
Self Employed,Composer,25 Nov 2019
Goldman Sachs,Consumer Wealth Management Associate - Project Manager,21 Nov 2019
Consultant ,"Consultant, Sales & Hiring",20 Nov 2019
Goldman Sachs,Senior Analyst,20 Nov 2019
Goldman Sachs,Vice President,17 Nov 2019
Goldman Sachs,Vice President,17 Nov 2019
Kennametal,Operations Analyst,14 Nov 2019
Facebook,Process Specialist,10 Nov 2019
Trust for America's Health,Senior Government Relations Manager,10 Nov 2019
Aon,Senior Associate Consultant,10 Nov 2019
ZeroGap (zerogap.co),President: Leadership Strategy & Training Development,09 Nov 2019
Boston College Law School,J.D. Candidate,08 Nov 2019
H&M,Sales Associate,06 Nov 2019
Pitzer College Office of Advancement,Annual Givings Associate,30 Oct 2019
Goldman Sachs,Associate - Loan Operations,30 Oct 2019
UPS,Part-Time Hub Supervisor,30 Oct 2019
Citadel,Recruiting Operations,30 Oct 2019
University of Central Florida,Lockheed Martin CWEP Participant,30 Oct 2019
Dimensional Fund Advisors,"Associate Trader, Fixed Income",25 Oct 2019
Miami Herald,Miami Herald Esserman Investigative Fellow,28 Sep 2019
Headspace Inc.,Content Creator,27 Sep 2019
Goldman Sachs,Senior Associate,18 Sep 2019
Children's Hospital of Philadelphia,Registered Nurse,18 Sep 2019
Capital One,Associate,05 Sep 2019
Goldman Sachs,Associate,31 Aug 2019
Urban Science,Consultant,28 Aug 2019
Citi,"Intern, Venture Investing, Citi Ventures",25 Aug 2019
VIPKid,EFL Teacher ,23 Aug 2019
Crimson Education,Financial Aid Consultant,21 Aug 2019
Strategy& (Part of the PwC Network),Experienced Strategy Associate,18 Aug 2019
Self-Employed,Options Trader,16 Aug 2019
Goldman Sachs,"Associate - CWM, Private Bank Mortgage Lending",01 Aug 2019
Chicago Project on Security and Threats,Research Assistant,01 Aug 2019
Goldman Sachs,Associate,01 Aug 2019
Next-Generation Intellects,Founder,26 Jul 2019
Heal the Bay,Remote Policy Intern,25 Jul 2019
Goldman Sachs,Associate,15 Jul 2019
Freelance,Google Adwords Specialist,11 Jul 2019
City of Hope,Clinical Research Assistant,09 Jul 2019
RSA Geotechnical Lab,Engineering Technician,09 Jul 2019
Pomona College,Head Writing Partner,09 Jul 2019
CalMatters,Economy Reporter,06 Jul 2019
Goldman Sachs,Associate,04 Jul 2019
Campbell Francis Group (CFG),Head Of Finance,02 Jul 2019
Goldman Sachs,Analyst,23 Jun 2019
A24,Associate Producer,23 Jun 2019
Freelance,Freelance Artist,23 Jun 2019
Goldman Sachs,Vice President,23 Jun 2019
Pomona College,Psychology/Africana Studies,23 Jun 2019
Goldman Sachs,Operational Specialist | Senior Associate,18 Jun 2019
Deloitte Consulting,Consultant,14 Jun 2019
Pomona College,Resident Advisor,14 Jun 2019
Moves,Creative Director,14 Jun 2019
Goldman Sachs,Investment Banking Ops Associate,07 Jun 2019
"Western University of Health Sciences, College of Podiatric Medicine","Founding Dean, College of Podiatic Medicine",03 Jun 2019
Goldman Sachs,Associate,01 Jun 2019
"Caliber Home Loans, Inc.","Bulk Desk Trader, Capital Market",08 May 2019
Goldman Sachs,Investment Banking Analyst,04 May 2019
CesiumAstro,Chief of Staff,04 May 2019
Public Defender Service for the District of Columbia,Investigative Specialist,03 May 2019
Raymour & Flanigan Furniture and Mattresses,Home Furnishing Consultant ,03 May 2019
AllianceBernstein,Senior Associate | Associate Officer,03 May 2019
New Jersey Devils,Security Officer,03 May 2019
ArchCity Defenders,Community Collaborations Fellow,03 May 2019
Bellvitge Biomedical Research Institute - IDIBELL,Fulbright Fellow,27 Apr 2019
Microsoft,Product Manager,14 Apr 2019
Sony Music Entertainment,Security Engineer,14 Apr 2019
Connective Leadership Institute,Director Of Program Development,14 Apr 2019
DICK'S Sporting Goods,Senior Financial Analyst,10 Apr 2019
Bank of America Private Bank,Portfolio Manager Senior Associate,05 Apr 2019
Argonne National Laboratory,Research Assistant,05 Apr 2019
Legends Investment Network,Founder,02 Apr 2019
"Roxbury Prep Charter School, Uncommon Schools",English Teacher and DEI Campus Facilitator,02 Apr 2019
Pomona College,Research Assistant - Department of Chemistry,29 Mar 2019
HackerU,Technical Program Manager,22 Mar 2019
PELLE + CO,CEO & Managing Partner Consultant,20 Mar 2019
Wakefern Food Corp.,Clerical Officer,19 Mar 2019
Hopelab,Research Associate,15 Mar 2019
Continued,UX Designer,09 Mar 2019
The Nightingale-Bamford School,English Teacher,04 Mar 2019
Slalom,Business Operations Analyst,25 Feb 2019
St. Benedict's Prep School,Senior Associate Headmaster,24 Feb 2019
The Initium Fund,Senior Quantitative Analyst,24 Feb 2019
American Airlines,Desktop Support Specialist,21 Feb 2019
Goldman Sachs,"Associate, Dallas Engineering Chief of Staff",17 Feb 2019
Goldman Sachs,Associate - Private Wealth Management,17 Feb 2019
The Boyd Initiative,Digital Marketing Trainee,15 Feb 2019
Haworth Marketing + Media,Programmatic Analyst ,13 Feb 2019
"Turner (Turner Broadcasting System, Inc)",Account Coordinator,13 Feb 2019
Scripps College,Associate Professor,12 Feb 2019
Center for Sustainable Energy (CSE),Income Verification Processor,11 Feb 2019
"African Film Festival, Inc.",Project Consultant,10 Feb 2019
Young Musicians Foundation,Program and Administrative Intern,07 Feb 2019
Petal,Product Manager,06 Feb 2019
BlackRock,Analyst,06 Feb 2019
Quad Studios,General Assistant,03 Feb 2019
One Health Labs,Senior Laboratory Technician,03 Feb 2019
U.S. Trade and Development Agency,Intern,03 Feb 2019
Equitable,PEP Assoociate,27 Jan 2019
STARFIRE PRESS,Director,18 Jan 2019
Main Street One,Lead Digital Relational Organizer,15 Jan 2019
Various,"Freelance Features Writer, Music",09 Jan 2019
Bank of America,Incoming Investment Banking Analyst,09 Jan 2019
Lempia Summerfield Katz LLC,Legal Assistant,09 Jan 2019
Strategy&,"Associate at Strategy&, part of the PwC network",09 Jan 2019
VoteTripling.org,Associate,09 Jan 2019
LuvServedDaily Consulting and Training,Founder and CEO,23 Dec 2018
Dottid,Senior Software Engineer,22 Dec 2018
Houston Methodist,Clinical Research Coordinator,22 Dec 2018
Quorum,Customer Success Manager,22 Dec 2018
University of San Diego School of Law,Development & Communications Coordinator,22 Dec 2018
Chipotle Mexican Grill,Takeout Specialist,22 Dec 2018
Strategic Communications and Planning (SCP),Communications Associate,22 Dec 2018
"Obermeyer Wood Investment Counsel, LLLP","Assistant, Client Services and Marketing",22 Dec 2018
"Better Living Real Estate, LLC",Real Estate Agent,22 Dec 2018
Parsons School of Design - The New School,CAD Research Assistant,20 Dec 2018
U.S. House of Representatives,Legislative Correspondent,09 Dec 2018
Black Dragon Capital,Partner,15 Nov 2018
Morgan Stanley,Securitized Sales Analyst,13 Nov 2018
Pomona College,Lab Coordinator,13 Nov 2018
UT Southwestern Medical Center,Labor and Delivery Nurse,13 Nov 2018
Self-employed,Independent Contractor,13 Nov 2018
High Design,Founder,13 Nov 2018
New Teacher Center,"Vice President, Legal & Strategic Advocacy",13 Nov 2018
Vanderbilt University School of Medicine,PHD Student,13 Nov 2018
JPMorgan Chase & Co.,"Associate, Global Trade",09 Nov 2018
Northeastern University,Computer Science Master’s student,07 Nov 2018
Fairview Health Services,Psychiatric Associate,20 Oct 2018
Capella University,Academic Advisor,11 Oct 2018
Crunchbase,Sales Development Representative,03 Oct 2018
USAID Advancing Nutrition,"Project Officer (Monitoring, Evaluation & Learning)",03 Oct 2018
IAC,GEM Full Fellow,21 Sep 2018
Pomona College,Phebe Estelle Spalding Professor of English,05 Sep 2018
Pomona College,Student Liaison for Computer Science,02 Sep 2018
University of Oxford,Graduate Student,02 Sep 2018
Pomona College,Computer Science Teaching Assistant,29 Aug 2018
Self-employed,Working Professional,29 Aug 2018
Denver Food Rescue,Volunteer Manager ,29 Aug 2018
Tangaza Magazine,Editor,29 Aug 2018
Caltech,Director of Undergraduate Admissions,28 Aug 2018
Indiana University Bloomington,Assistant Vice Provost for Student Affairs,26 Aug 2018
Pomona College,Associate Professor of Economics,26 Aug 2018
AV Squad,Music Coordinator,26 Aug 2018
Stevens Cooperative School,Director Of Development,21 Aug 2018
Macy's,Recieving ,20 Aug 2018
Pomona College,Orientation Adventure Leader,19 Aug 2018
US Navy,Military Officer,19 Aug 2018
PIMCO,Associate,13 Aug 2018
Inspectorio,Director of Growth,12 Aug 2018
Michigan State University,American Economics Association Summer Program Alum,11 Aug 2018
Analysis Group,Analyst,10 Aug 2018
Deloitte,"Senior Consultant, Investment Management",10 Aug 2018
Silicon Valley Bank,Senior Analyst,10 Aug 2018
Emmanuel Business School,Customer Relationship Management,10 Aug 2018
Goldman Sachs,Analyst | Private Equity Group,10 Aug 2018
Ethegra Technologies LLC,Head of Data Analytics,08 Aug 2018
Amazon,Area Manager,07 Aug 2018
Capitol Whip,Chief Executive Officer,02 Aug 2018
Yohana,Associate Marketing Manager,01 Aug 2018
Live Your Best Life Inc.,Co-Founder,01 Aug 2018
Lighthouse Creative Group,Junior Content Strategist,28 Jul 2018
Goldman Sachs,Associate,26 Jul 2018
Kimberly-Clark,Process Specialist 3,26 Jul 2018
Pomona College,Resident Advisor,26 Jul 2018
"Cravath, Swaine & Moore LLP",Summer Associate,26 Jul 2018
U.S. Geological Survey (USGS),"Research Assistant for Communication, Education, and Outreach",26 Jul 2018
LinkedIn,LinkedIn,26 Jul 2018
RaSia Khepra Limited Liability Company ,Owner,10 Jul 2018
The Aerospace Corporation,Electro-Optical Sensor Analyst,03 Jul 2018
Global Healthy Living Foundation,Advocacy and Education Intern,20 Jun 2018
Goodwin,Litigation Associate,15 Jun 2018
UnderTheDoormat,Guest Relations Team Member,14 Jun 2018
UCSF Benioff Children's Hospitals,Clinical Research Coordinator III,14 Jun 2018
The Fresh Air Fund,Program Specialist,11 Jun 2018
GR0,Jr. SEO Strategist,09 Jun 2018
Central Square Foundation,"Project Manager, EdTech",02 Jun 2018
"Pomona College, Draper Center for Community Partnerships",Assistant Director for Community Based Research & Learning,31 May 2018
Campbell Hall,Associate Head of Community Engagement,31 May 2018
Tideline,Associate,29 May 2018
@Mx.Chiugo,Founder,29 May 2018
Watson Foundation,Watson Fellow,25 May 2018
self employed- photographer/assistant,Freelance Photographer/ photographer assistant,24 May 2018
Town Sports International,Welcome Team,19 May 2018
College Track,College Access Director,19 May 2018
Homestead,"Project Manager, Business Operations",18 May 2018
Analysis Group,Analyst,18 May 2018
GRID Alternatives ,Outreach Coordinator,18 May 2018
KKR & Co. Inc.,"Leveraged & Distressed Credit, Credit Analyst",07 May 2018
Slalom,Cloud Engineer Consultant,07 May 2018
HSBC,Credit Analyst,07 May 2018
Capella University,Associate Enrollment Counselor,07 May 2018
Carnegie Mellon University,Graduate Teaching Assistant,07 May 2018
JPMorgan Chase & Co.,Business Analyst,07 May 2018
"Avitas, a Baker Hughes venture",Program Manager,04 May 2018
Goldman Sachs,Investment Banking Analyst,22 Apr 2018
Evercore,Evercore ,05 Apr 2018
PitchBook Data,Fund Strategies and Performance Analyst | ESG and Impact Specialist,03 Apr 2018
Other Animals Inc. ,Executive Assistant,02 Apr 2018
Federal Reserve Bank of San Francisco,Office of Regional and Business Engagement Intern,01 Apr 2018
Freelance,Director of FGM Documentary,01 Apr 2018
Tulane University,Adjunct Faculty,30 Mar 2018
Singular Genomics,Research Engineer,30 Mar 2018
The Phoenix Philanthropy Group,Senior Consultant,30 Mar 2018
Hot Sauce Productions,Development Assistant,27 Mar 2018
KIPP Texas Public Schools - San Antonio,Reading Teacher,27 Mar 2018
"LMA Consulting Group, Inc.",Manufacturing & Supply Chain Research Intern,27 Mar 2018
New York Life Insurance Company,Agent,27 Mar 2018
COOP,Data Analytics Apprentice,27 Mar 2018
Baker Electric,Wireman Apprentice,27 Mar 2018
Playa Bowls,Shift Leader,27 Mar 2018
Amazon Logistics,Area Manager,27 Mar 2018
Rock to the Future,Administrative Support ,27 Mar 2018
Visa,Senior Software Engineer,26 Mar 2018
Guild Education,"Senior Consultant, Employer Solutions",26 Mar 2018
Boston University School of Medicine,Research Technician,22 Mar 2018
"Tyvak Nano-Satellite Systems, Inc.",Mission Operations Engineer,22 Mar 2018
NOM [This Is NOM],Senior Client Services Manager,22 Mar 2018
Claremont University Consortium,Peer Health Educator at the Health Education Outreach Center ,17 Mar 2018
Accenture Federal Services,Consultant,19 Feb 2018
Deep End Aquatics Swim Club,Assistant Swim Coach,19 Feb 2018
Federal Reserve Bank of San Francisco,Talent Acquisition and Development- Intern,07 Feb 2018
Canvas Worldwide,"Senior Analyst, SEM",07 Feb 2018
Hutch Kids Child Care Center,Equity & Inclusion Specialist,09 Jan 2018
Engage Miami,Organizer,04 Jan 2018
St. Benedict's Preparatory School,Earth Science/Engineering teacher,01 Jan 2018
Yale University,PHD Student,26 Dec 2017
Lever for Change,Chief Executive Officer,23 Dec 2017
Accenture,Analyst,22 Dec 2017
Rainforest Trust,Latin America Conservation Officer,22 Dec 2017
Education Resource Strategies,Analyst,22 Dec 2017
Hispanic Scholarship Fund,"Manager, Operations",22 Dec 2017
Credit Where Credit Is Due,Research Consultant,22 Dec 2017
CUNY School of Professional Studies,Graduate Student,22 Dec 2017
National LGBT Cancer Network,Project Specialist,22 Dec 2017
Commonfund,Associate,04 Dec 2017
Federal Reserve Bank of San Francisco,Associate Bank Examiner,04 Dec 2017
Corbin's Crusaders,Assistant Coach,04 Dec 2017
CIVIC Financial Services,Account Executive,19 Nov 2017
PubliCola News,Staff Reporter,13 Nov 2017
Glenmede,"Client Service Associate, Portfolio Management",13 Nov 2017
SEO London,Candidate,13 Nov 2017
GE Healthcare,Production Team Leader,02 Nov 2017
Claremont University Consortium,Student Coordinator | The Draper Center for Community Partnerships,26 Oct 2017
Ammon Labs,Medical Laboratory Technologist,26 Oct 2017
University of Maryland,Student Technician,25 Oct 2017
Pomona College Economics Department,Research Head,23 Oct 2017
"Boundless Awareness, LLC",Assistant Facilitator ,23 Oct 2017
Equ@tions INC,Chief Marketing Officer / Assistant Chief Operating Officer,17 Oct 2017
BJ WILKERSON MEM CHILD DEV CEN INC,Paraprofessional,09 Oct 2017
PERTH AMBOY PUBLIC SCHOOLS,School Psychology Intern,09 Oct 2017
HBO,Associate Multicultural Marketing Manager,08 Oct 2017
Office of Black Student Affairs,Alumni Engagement,08 Oct 2017
Deep End Aquatics Swim Club,Assistant Coach,08 Oct 2017
Newbridge Marketing Group,Senior Marketing Manager,08 Oct 2017
Keck Graduate Institute,Graduate App Developer,08 Oct 2017
New Climate Culture,Co-founder and Marketer,08 Oct 2017
Prove,Sales Director,02 Oct 2017
California Institute of Integral Studies,MA Student ,28 Sep 2017
Goldman Sachs,Senior Associate,24 Sep 2017
Goldman Sachs,Associate,21 Sep 2017
Catholic Community Services,Housing Case Manager,21 Sep 2017
Goldman Sachs,Vice President,20 Sep 2017
Northwestern University,Assistant Director - Career Enhancement & Employer Relations,20 Sep 2017
"University of California, San Francisco",Development Analyst,20 Sep 2017
Drake Family Farms Goat Dairy,Cheese Monger,20 Sep 2017
Athletic Scholars Advancement Program,Assistant Director,20 Sep 2017
Barnes & Noble College,Associate,20 Sep 2017
BUILD Chicago,Member Board Of Directors,20 Sep 2017
Marsh,"Chief Operating Officer, North America",13 Sep 2017
Flexport,Associate Product Manager,12 Sep 2017
Fragomen,Business Immigration Analyst ,08 Sep 2017
Wells Fargo,Case Operations Analyst (contract),06 Sep 2017
"Blakely Financial, Inc",Financial Advisor,06 Sep 2017
DSV - Global Transport and Logistics,Senior Data Scientist,06 Sep 2017
Advocate Christ Medical Center,Student Researcher,06 Sep 2017
STALKR-Worldwide,Visual Researcher,06 Sep 2017
Deloitte,Advisory Consultant,01 Sep 2017
California State Polytechnic University-Pomona,Adjunct Professor of Management and Human Resources ,01 Sep 2017
Goldman Sachs,Vice President,01 Sep 2017
Goldman Sachs,Associate,01 Sep 2017
Goldman Sachs,Vice President,30 Aug 2017
Goldman Sachs,Private Markets Investing and Lending- Vice President,30 Aug 2017
J.P. Morgan,Banker Associate,30 Aug 2017
Goldman Sachs,"Senior Vice President, United Capital Integration",30 Aug 2017
MUFG,Senior Fund Accountant,24 Aug 2017
House Committee on Oversight and Government Reform,Professional Staff Member,22 Aug 2017
Goldman Sachs,Operations Vice President,22 Aug 2017
J.P. Morgan,VP - International Onboarding Manager,22 Aug 2017
Northern Trust Corporation,"Regional Director, Goals Driven Wealth Management",21 Aug 2017
Moksha,Chief Operating Officer,20 Aug 2017
Goldman Sachs,Associate,20 Aug 2017
Morgan Stanley,"Executive Director, North America Head of Institutional Client Services",20 Aug 2017
Goldman Sachs,Vice President,20 Aug 2017
Wells Fargo,Senior Vice President: Head of Commercial Banking Pricing Governance  ,20 Aug 2017
Orchard Global,Associate Compliance Officer,19 Aug 2017
Goldman Sachs,Credit Associate,19 Aug 2017
Goldman Sachs,Vice President,19 Aug 2017
Goldman Sachs,Vice President,19 Aug 2017
IHS Markit,Implementation Consulting Associate Director,19 Aug 2017
Goldman Sachs,Vice President Cyber Security,19 Aug 2017
Harris Williams,Investment Banking Analyst,19 Aug 2017
Talking Rain Beverage Company®,Data Scientist,18 Aug 2017
IHS Markit,Implementation Consultant Associate Director,18 Aug 2017
Goldman Sachs,Operations Associate,18 Aug 2017
Citi,Managing Director,18 Aug 2017
Bank of America,Syndicated Closer,18 Aug 2017
Amazon,"National Category Lead/Vendor Manager, Senior Category Manager ► Operations Turnaround ► Full P&L",18 Aug 2017
Goldman Sachs,PWM Associate,18 Aug 2017
Goldman Sachs,Investing & Lending Operations,18 Aug 2017
Goldman Sachs,Analyst,18 Aug 2017
JPMorgan Chase & Co.,Associate,18 Aug 2017
Goldman Sachs,Executive Assistant - Operations,18 Aug 2017
The Armand Hammer United World College,Resident Coordinator and Experiential Educator ,14 Aug 2017
TEAM Education Consulting,Tutor and Intern,14 Aug 2017
Microsoft,FRP Analyst at Microsoft,10 Aug 2017
Beacon Hill Staffing Group,Consultant,10 Aug 2017
Goldman Sachs,Alternative Capital Markets,10 Aug 2017
Bain & Company,Consultant,07 Aug 2017
Greater Boston Interfaith Orgn,Community Organizer,23 Jul 2017
Havas,Social Media Analyst,21 Jul 2017
NetSuite,Account Executive | Consumer Products ,21 Jul 2017
APLA Health,PrEP Navigator,14 Jul 2017
Confirmit,Enterprise Business Development,13 Jul 2017
Accenture,Management Consultant,13 Jul 2017
"Olde Thompson, LLC",Graphic Designer,11 Jul 2017
"University of California, Los Angeles",Research Lab Coordinator,07 Jul 2017
MetroNet,Financial Analyst,07 Jul 2017
J.P. Morgan,Corporate Derivatives Analyst,02 Jul 2017
Accenture,Consultant,02 Jul 2017
In Search of Excellence Podcast,Podcast Host,02 Jul 2017
Cooper & Cooper Real Estate,Partner & Co-Founder,02 Jul 2017
The Steve Fund,Senior Advisor,02 Jul 2017
Claremont McKenna College,Assistant Director Of Career Services,02 Jul 2017
Nuro,Systems Integration Engineer,02 Jul 2017
"U.S. Department of Justice, Antitrust Division",Paralegal Specialist,02 Jul 2017
Climate Resolve,Luskin Intern,02 Jul 2017
Harvard University,Crimson Summer Academy Mentor,02 Jul 2017
Intuit,Senior Software Engineer,02 Jul 2017
Jackson Lewis P.C.,Associate Attorney,19 Jun 2017
J.P. Morgan,Investment Banking Analyst,19 Jun 2017
HACLA,Acquisitions and Development,19 Jun 2017
Travelers,Account Executive,18 Jun 2017
Walker & Dunlop,Senior Analyst,18 Jun 2017
"Hickman Analytics, Inc",Analyst,16 Jun 2017
New York Legal Assistance Group,Paralegal,16 Jun 2017
Scripps College,Overnight and Outreach Co-Coordinator,16 Jun 2017
Clark County School District,Kindergarten Teacher,16 Jun 2017
Accountability Counsel,Law Fellow,05 Jun 2017
Cox Sports Broadcasting,Stage Manager,27 May 2017
Willis Towers Watson,"Lead Associate, North America Sales Operation ",23 May 2017
Story Merchant,Literary Assistant,16 May 2017
Camp Tecumseh,"Coach , Mentor, Camp Counselor",15 May 2017
Goldman Sachs,Vice President,10 May 2017
Independent Security Contractor,Security Manager,10 May 2017
Teach For America,Recruitment Manager,09 May 2017
WIngate Wilderness Therapy,Field Staff,06 Apr 2017
FedEx Services,Warehouse Associate,06 Apr 2017
Wayfair,Selection Specialist,22 Mar 2017
University of Illinois College of Medicine Peoria,Medical Student Researcher,22 Mar 2017
Manifest Network,Network Ministry Associate,20 Mar 2017
Kawasaki Rail Car,Assistant Buyer,15 Mar 2017
IBM,Watson Health Senior Analytic Intern,15 Mar 2017
Uber,Account Specialist III - Outreach Innovation,15 Mar 2017
Broward County Environmental Protection and Growth Management Department,Natural Resources Specialist,06 Mar 2017
NexFirm,Help Desk Support Technician,28 Feb 2017
Birth Partners - UNC Volunteer Doula Program,Birth Doula,27 Feb 2017
The Posse Foundation,Trainer,22 Feb 2017
Crimson Education,Essay Review Team Consultant,22 Feb 2017
City of Seattle,"Project Coordinator, Seattle Center Redevelopment",22 Feb 2017
Pomona College,Professor of Politics,22 Feb 2017
State of New Jersey,Assistant Deputy Public Defender,21 Feb 2017
Google,Product Manager,21 Feb 2017
Law Office of Carteia V. Basnight,Executive Assistant to Managing Partner ,21 Feb 2017
Heritage Meats,Butcher Assistant,21 Feb 2017
Lazurite,Product Engineer,21 Feb 2017
BlackRock,Analyst,21 Feb 2017
City AM,Marketing & Partnerships Manager,05 Feb 2017
Kearns & West,Associate,30 Jan 2017
Robinhood,Business Intelligence Analyst,30 Jan 2017
FRO,Co-Founder,27 Jan 2017
Justin Dixon Etc. ,Designer & Builder,26 Jan 2017
"Audible, Inc.",Data Analyst,24 Jan 2017
Solution Centre Zimbabwe,Business Data Analyst,23 Jan 2017
Bully Pulpit Interactive,Senior Media Buyer,21 Jan 2017
Restoration Builders,Co Founder - Vice President of Capital Markets and Strategic Acquisitions ,21 Jan 2017
Popular Change,Co-Founder - Company Builder,20 Jan 2017
Pomona College,Resident Advisor,20 Jan 2017
U.S. Department of State,Foreign Service Officer,18 Jan 2017
Sequoia Capital,Partner,18 Jan 2017
Northern California Innocence Project (NCIP),Clinical Student,13 Jan 2017
Success Academy Charter Schools,Associate Teacher,11 Jan 2017
Pomona College ,"Executive Board Member, Community Group Leader of Claremont Christian Fellowship",11 Jan 2017
Fragomen,"Diversity, Equity, and Inclusion Committee Member",11 Jan 2017
Tico Fence,Project Manager,11 Jan 2017
TPG,Private Equity Associate,25 Dec 2016
Buxton School,History Teacher,25 Dec 2016
1st Assisant Camera / Gaffer ,Freelance ,17 Dec 2016
University of Washington,"Research Study Coordinator | Stereotypes, Identity, and Belonging Lab",15 Dec 2016
Pomona College Writing Center,Writing Partner,15 Dec 2016
Milk Bar,"Copywriter, Creative",15 Dec 2016
Socrata,Software Engineer Intern,15 Dec 2016
LGND Lifestyle,Co-Founder,03 Dec 2016
UBS,Assistant Market Head,03 Dec 2016
Private Consultancy,Strategic Communications Consultant,03 Dec 2016
The Greenlining Institute,"Summer Associate, Environmental Equity",21 Nov 2016
McLean Hospital,Clinical Research Assistant,21 Nov 2016
"ONE BOWL PRODUCTIONS, LLC","Associate Producer, Assistant Editor (Freelance)",16 Nov 2016
Warp,Developer Experience Engineer,16 Nov 2016
Genentech,Product Development Intern,16 Nov 2016
FedEx Ground,Package Handler,08 Nov 2016
Boston University,Lab Manager,01 Nov 2016
Snowflake Computing,"Account Executive , Israel ",01 Nov 2016
PNC,Institutional Asset Management Analyst ,25 Oct 2016
Project Everyone,"Junior Manager, Business & Climate",25 Oct 2016
Federal Reserve Bank of San Francisco,Associate Examiner,20 Oct 2016
Gallian Firm LLC,Legal Assistant,20 Oct 2016
Ecomilk,Engineer-Programmer,12 Oct 2016
NASA Jet Propulsion Laboratory,Intern | NASA DEVELOP - SSAI,12 Oct 2016
Atlassian,Software Engineer,12 Oct 2016
Epic Games,Production Assistant,12 Oct 2016
CAI,Reliability Engineer,12 Oct 2016
Atlassian,Software Developer,12 Oct 2016
New York Health and Racquet Club,Personal Trainer,12 Oct 2016
Wieden + Kennedy,Account Supervisor,12 Oct 2016
The George Washington Law Review,Notes Editor,29 Sep 2016
PwC,Senior Associate,23 Sep 2016
Aurora School,2/3 Lead Teacher ,16 Sep 2016
UPS,Service Provider,11 Sep 2016
Life Time Inc.,Account Manager,09 Sep 2016
Union township soccer,Director Of Coaching,05 Sep 2016
Bank of the West,Corporate and Commercial Banking Controls & Governance Officer,04 Sep 2016
Freelance,Voice Over Artist,04 Sep 2016
KPMG US,HR Senior Analyst - Global Mobility at KPMG US,24 Aug 2016
Steep Hill,Lab Technician- Lead,23 Aug 2016
Aspen Public Radio,Reporter and Host,22 Aug 2016
MO International LLC,Managing Partner,21 Aug 2016
Twitter,Client Performance Analyst,21 Aug 2016
Draper Center for Community Partnerships,Student Coordinator,21 Aug 2016
Microsoft,Program Manager,21 Aug 2016
Lakeside School,College Counselor,11 Aug 2016
New York-Presbyterian Hospital,Medical Laboratory Scientist,09 Aug 2016
Northwestern University,Research Assistant,07 Aug 2016
Yale University,Postgraduate Research Associate,07 Aug 2016
"Aetna, a CVS Health Company",Java Software Developer,07 Aug 2016
BatesCarey LLP,Reinsurance Paralegal,06 Aug 2016
Thoma Bravo,Private Equity Associate,05 Aug 2016
Colorado Center for Astrodynamics Research,"Satellite Assembly, Integration & Test Engineer",04 Aug 2016
INROADS,Senior Manager,04 Aug 2016
Chan Zuckerberg Biohub,Research Associate,04 Aug 2016
UBS,Trader,04 Aug 2016
Tecnológico de Monterrey Innovation Hub | Mexico-China Center,Director Of International Development,03 Aug 2016
DoorDash,Strategy & Operations Senior Associate,03 Aug 2016
Pasadena City College,Communications Instructor,26 Jul 2016
San Francisco Department of Public Health,Program Development Coordinator,21 Jul 2016
Stanford University,Research Assistant,21 Jul 2016
Goldman Sachs,Global Sustainability and Impact Associate,21 Jul 2016
Cisco Meraki,"Strategy Lead, Product Enablement",18 Jul 2016
Analysis Group,Senior Analyst,17 Jul 2016
St. Benedict's Prep School,Chemistry Teacher,16 Jul 2016
Advanced Neurosurgery Associates,Clinical Research Coordinator,13 Jul 2016
Stanford Law School,Empirical Research Fellow,13 Jul 2016
Los Angeles Department of Water and Power,Civil Engineering Associate I,13 Jul 2016
Citi,"Senior Analyst, Public Sector Group",12 Jul 2016
SecurID,Commercial Account Executive,11 Jul 2016
Global Prairie,Summer Intern,11 Jul 2016
Apple,Financial Analyst,11 Jul 2016
RBC Capital Markets,Treasury Analyst,11 Jul 2016
PNC,Banker,11 Jul 2016
Madison Square Garden Sports Corp.,Membership Experience Executive,11 Jul 2016
Ocean Conservancy,RAY Marine Conservation Fellow,11 Jul 2016
"Cadwalader, Wickersham & Taft LLP",Summer Associate,11 Jul 2016
"Flaunt Fitness, LLC",Dance Teacher,11 Jul 2016
Yale-NUS College,Residential Life Officer,11 Jul 2016
General Mills,Associate Brand Manager Intern,11 Jul 2016
Celgard,Associate Product Development Technician,28 Jun 2016
San Gabriel and Lower Los Angeles Rivers and Mountains Conservancy (RMC),Project Manager,25 Jun 2016
Los Angeles LOMOD Corporation,Jr. Contracts Specialist,24 Jun 2016
"University of California, Riverside",Labor Studies Internship Coordinator,24 Jun 2016
"University of Tennessee, Knoxville",Captain of Minority Enhancement for UT ,24 Jun 2016
AFIRE Chicago,Community Organizer,23 Jun 2016
Waukegan Public Schools,Substitute Teacher,20 Jun 2016
